,Name,id
0,The Tortured Poets Department,1140058
1,The Tortured Poets Department + Bonus Track “The Albatross” ,1148040
2,The Tortured Poets Department (Physical Version),1140061
3,The Tortured Poets Department + Bonus Track “The Bolter”,1144980
4,1989 (Taylor’s Version) [Webstore Deluxe],1105019
5,1989 (Taylor’s Version) [Deluxe],1099677
6,1989 (Taylor’s Version),754738
7,1989 (Taylor’s Version) [Tangerine Edition],1082316
8,The Cruelest Summer,1096172
9,Speak Now (Taylor’s Version) [Digital Deluxe],1058580
10,Speak Now (Taylor’s Version),758025
11,Midnights (The Late Night Edition),1040217
12,Midnights (The Til Dawn Edition),1040211
13,folklore: the long pond studio sessions (Record Store Day Exclusive),1027134
14,The More Fearless (Taylor’s Version) Chapter,1013718
15,The More Lover Chapter,1013715
16,The More Red (Taylor’s Version) Chapter,1013719
17,Lavender Haze (Remixes),1008313
18,Lover (Live From Paris) Heart Shaped Vinyl,1032700
19,Anti-Hero (Remixes) ,969188
20,Midnights (Apple Music Exclusive) ,959034
21,Midnights (Target Exclusive),949856
22,Midnights,945000
23,Midnights (3am Edition),962334
24,Carolina (From The Motion Picture “Where The Crawdads Sing”),921019
25,All Too Well (10 Minute Version) [The Short Film] - EP,916591
26,"the lakes - 7"" Single (Record Store Day Exclusive)",873527
27,Red (Taylor’s Version): From The Vault Chapter ,862870
28,Red (Taylor’s Version): The Slow Motion Chapter ,862869
29,Message In A Bottle (Fat Max G Remix) (Taylor’s Version) ,862783
30,Red (Taylor’s Version): She Wrote A Song About Me Chapter,861675
31,Red (Taylor’s Version): Could You Be The One Chapter,859646
32,Red (Taylor’s Version),758022
33,evermore (digitally autographed fan edition),779383
34,Fearless (Taylor’s Version): The From the Vault Chapter,776228
35,Fearless (Taylor’s Version): The I Remember What You Said Last Night Chapter,775761
36,Fearless (Taylor’s Version): The Kissing In The Rain Chapter,773617
37,Fearless (Taylor’s Version): The Halfway Out the Door Chapter,771313
38,Fearless (Taylor’s Version),734107
39,the “ladies lunching” chapter,731261
40,evermore: the “forever is the sweetest con” chapter,728549
41,evermore: the dropped your hand while dancing chapter,725953
42,evermore (deluxe version),710147
43,evermore (Japanese Edition),726425
44,willow (the witch collection),712513
45,evermore,710140
46,Christmas Tree Farm - 12” Single Picture Disc,840433
47,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],704621
48,folklore: the long pond studio sessions (from the Disney+ special),704342
49,cardigan + songwriting voice memo - Single,681918
50,folklore: the yeah I showed up at your party chapter,680288
51,folklore: the saltbox house chapter,671810
52,folklore: the sleepless nights chapter ,670935
53,folklore: the escapism chapter,669904
54,folklore (deluxe version),659926
55,cardigan (cabin in candlelight version) - Single,818290
56,folklore,659925
57,Live from Paris,636933
58,"Our Song (7"" Single)",1032701
59,Lover (Target Exclusive/Japanese Edition),832267
60,Lover,520929
61,Fearless (Big Machine Radio Release Special),1034556
62,Speak Now (Big Machine Radio Release Special),1034557
63,reputation Stadium Tour Surprise Song Playlist ,698363
64,Spotify Singles,419292
65,reputation,350247
66,1989,110728
67,1989 (Deluxe),621286
68,Red (Deluxe Version),597875
69,Red,22453
70,Speak Now: World Tour Live (Deluxe),641306
71,Speak Now: World Tour Live,146377
72,Speak Now: World Tour Live (Brazilian Edition),641346
73,iTunes Essentials,803344
74,Speak Now (Deluxe),597883
75,Speak Now,10982
76,Fearless (Platinum Edition),350177
77,Fifteen - Single,818293
78,Fearless (International Version),597886
79,Love Story [UK CD Single] ,623366
80,Fearless (Japanese Edition),597889
81,Fearless,12731
82,Love Story - Single,662190
83,Beautiful Eyes - EP,152556
84,Live From Clear Channel Stripped 2008 ,627591
85,Live from SoHo - EP,321310
86,Taylor Swift (Deluxe),660089
87,Rhapsody Originals (Rhapsody exclusive),628053
88,The Taylor Swift Holiday Collection - EP,39094
89,Teardrops On My Guitar - EP,545869
90,Taylor Swift (Best Buy Exclusive) ,628059
91,Napster Live (Napster Exclusive) ,863348
92,Taylor Swift,12682
93,2004 Demo CD (Three Songs),371725
94,2004 Demo CD,477053
95,2004–2005 Demo CD,452945
96,Lucky You Demo CD,371714
97,Vol. 2 Demo CD,452948
98,“Taylor’s Songs” 2003 Demo,477041
99,2003 Demo,1074305
100,2003 Demo CD,477049
101,2002 Demo CD,371726
102,reputation (Taylor’s Version)*,856277
103,Taylor Swift (Taylor’s Version)*,1127982
104,Demo CD (Covers),895969
